number	name	team	height	weight	position	birthdate
12	苏伟	广东华南虎	213CM/7尺0寸	123.5KG / 272磅	中锋	1989年07月28日
51	万圣伟	广东华南虎	201CM/6尺7寸	125KG / 275磅	中锋	1994年11月10日
27	许钟豪	八一火箭	211CM/6尺11寸	126.8KG / 279磅	中锋	1990年11月30日
15	余晨	八一火箭	207CM/6尺9寸	120.1KG / 264磅	中锋	1990年4月26日
1	付豪	八一火箭	207CM/6尺9寸	100KG / 220磅	中锋	1997年8月24日
12	胡彤浩	八一火箭	203CM/6尺8寸	99KG / 218磅	中锋	1999年7月13日
10	邹雨宸	八一火箭	208CM/6尺10寸	108KG / 238磅	中锋	1996年7月5日
39	李佳益	北京鸭	208CM/6尺10寸	120KG / 264磅	中锋	1997年
13	朱彦西	北京鸭	208CM/6尺10寸	115.2KG / 253磅	中锋	1990年5月25日
9	艾派-尤度	北京鸭	209CM/6尺10寸	112KG / 246磅	中锋	
41	贾斯汀-汉密尔顿	北京鸭	213CM/7尺0寸	118公斤KG / 260磅	中锋	1990年4月1日
21	刘宇轩	江苏龙	210CM/6尺11寸	90KG / 198磅	中锋	1999年1月22日
13	米罗斯拉夫-拉杜利察	江苏龙	213CM/7尺0寸	127KG / 279磅	中锋	1988年1月
11	吴冠希	江苏龙	208CM/6尺10寸	106.3KG / 234磅	中锋	1994年9月29日
77	赵旭昕	江苏龙	210CM/6尺11寸	103KG / 227磅	中锋	1999年1月15日
18	蒋浩然	江苏龙	206CM/6尺9寸	103KG / 227磅	中锋	2000年7月23日
7	俞长栋	新疆飞虎	207CM/6尺9寸	110.8KG / 244磅	中锋	1991年10月26日
12	埃里克-米卡	新疆飞虎	208CM/6尺10寸	104KG / 229磅	中锋	1995年1月5日
17	范子铭	新疆飞虎	211CM/6尺11寸	110.0KG / 242磅	中锋	1998年4月29日
28	卢梓杰	辽宁飞豹	206CM/6尺9寸	92KG / 202磅	中锋	1999年1月1日
32	王化东	辽宁飞豹	203CM/6尺8寸	120KG / 264磅	中锋	1999年6月26日
55	韩德君	辽宁飞豹	215CM/7尺1寸	132.8KG / 292磅	中锋	1987年5月10日
4	李安	吉林东北虎	210CM/6尺11寸	118.6KG / 261磅	中锋	1990年12月08日
32	伊莱-霍尔曼	吉林东北虎	208CM/6尺10寸	118KG / 260磅	中锋	1989年3月22日
36	代怀博	吉林东北虎	209CM/6尺10寸	100.7KG / 222磅	中锋	1994年2月12日
